path;type;size;permissions;modification_time;user;group;device_id;hard_links;special_device_id;inode;block_size;blocks;flags;generation;access_time;change_time;birth_time
C:/Windows/SysWOW64/%LOCALAPPDATA%;directory;0;16822;2020-11-03T12:52:03.285130Z;;;2785144255;1;0;1970324837784900;4096;0;0;0;2021-12-16T13:36:01.156170Z;2020-11-03T12:52:03.285130Z;2020-03-16T22:22:58.723711Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps;directory;0;16822;2020-10-06T06:54:36.717555Z;;;2785144255;1;0;844424930428005;4096;8;0;0;2021-12-16T13:36:01.156170Z;2020-11-03T12:52:03.285130Z;2020-03-16T22:22:58.723711Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.11856.dmp;file;431260;33206;2020-08-05T11:47:41.235923Z;;;2785144255;1;0;12666373952115100;4096;848;0;0;2020-08-05T11:47:41.235923Z;2020-08-05T11:47:41.235923Z;2020-08-05T11:47:41.137141Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.14892.dmp;file;430300;33206;2020-07-07T08:47:11.481311Z;;;2785144255;1;0;5629499534329930;4096;848;0;0;2020-07-07T08:47:11.481311Z;2020-07-07T08:47:11.481311Z;2020-07-07T08:47:11.417858Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.18292.dmp;file;428424;33206;2020-07-07T08:47:07.532820Z;;;2785144255;1;0;5629499534329930;4096;840;0;0;2020-07-07T08:47:07.532820Z;2020-07-07T08:47:07.532820Z;2020-07-07T08:47:07.445948Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.18380.dmp;file;430908;33206;2020-08-05T11:47:37.605234Z;;;2785144255;1;0;20266198323302700;4096;848;0;0;2020-08-05T11:47:37.605234Z;2020-08-05T11:47:37.605234Z;2020-08-05T11:47:37.504984Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.2012.dmp;file;431372;33206;2020-06-29T16:44:10.610458Z;;;2785144255;1;0;5348024557545660;4096;848;0;0;2020-06-29T16:44:10.610458Z;2020-06-29T16:44:10.610458Z;2020-06-29T16:44:06.786390Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.8048.dmp;file;429432;33206;2020-08-13T09:41:35.902423Z;;;2785144255;1;0;5910974510990930;4096;840;0;0;2020-08-13T09:41:35.902423Z;2020-08-13T09:41:35.902423Z;2020-08-13T09:41:35.799975Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/ThinkPad_Hybrid_Dock_TVSU_FW_V1.0.0.25.exe.8952.dmp;file;430608;33206;2020-08-13T09:41:32.016428Z;;;2785144255;1;0;1407374883849320;4096;848;0;0;2020-08-13T09:41:32.016428Z;2020-08-13T09:41:32.016428Z;2020-08-13T09:41:31.926832Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/uncsetting.exe.13384.dmp;file;6328711;33206;2020-08-25T06:19:10.063209Z;;;2785144255;1;0;20266198323232800;4096;12368;0;0;2020-08-25T06:19:10.063209Z;2020-08-25T06:19:10.063209Z;2020-08-25T06:19:09.914680Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/uncsetting.exe.17172.dmp;file;6313167;33206;2020-10-06T06:54:37.022647Z;;;2785144255;1;0;28428972647849200;4096;12336;0;0;2020-10-06T06:54:37.022647Z;2020-10-06T06:54:37.022647Z;2020-10-06T06:54:36.717555Z
C:/Windows/SysWOW64/%LOCALAPPDATA%/CrashDumps/uncsetting.exe.6188.dmp;file;6310663;33206;2020-07-25T10:31:36.156490Z;;;2785144255;1;0;5910974510964930;4096;12328;0;0;2020-07-25T10:31:36.156490Z;2020-07-25T10:31:36.156490Z;2020-07-25T10:31:35.994782Z
C:/Windows/SysWOW64/0409;directory;0;16822;2019-12-07T14:51:16.610878Z;;;2785144255;1;0;18295873486513000;4096;0;0;0;2021-12-16T13:36:01.156170Z;2020-11-03T12:35:52.826114Z;2019-12-07T14:51:16.610878Z
C:/Windows/SysWOW64/12520437.cpx;file;2151;33206;2019-12-07T09:10:02.131501Z;;;2785144255;2;0;1125899907629730;4096;8;0;0;2021-12-16T13:35:27.404179Z;2020-11-03T12:35:39.219540Z;2019-12-07T09:10:02.131501Z
C:/Windows/SysWOW64/12520850.cpx;file;2233;33206;2019-12-07T09:10:02.131501Z;;;2785144255;2;0;1125899907627910;4096;8;0;0;2021-12-16T13:35:27.412194Z;2020-11-03T12:35:38.375987Z;2019-12-07T09:10:02.131501Z
